	clipping	full
0	Abe	Abraham
1	ad	administration
2	ad	advertisement
3	advert	advertisement
4	addy	address
5	ade	lemonade
6	ADG	adermatoglyphia
7	adman	advertising man
8	admin	administration
9	adv	advanced
10	afish	aficionado
11	after	afternoon
12	Ag	Agatha
13	aggro	aggression
14	Al	Alfred
15	alky	alcoholic
16	ambo	ambulance worker
17	ammo	ammunition
18	amp	amplifier
19	ana	anorexia
20	Andy	Andrew
21	Angie	Angela
22	anon	anonymous
23	anthro	anthropology
24	app	application
25	Archie	Archibald
26	Argie	Argentinian
27	arvo	afternoon
28	Aussie	Australian
29	auto	automobile
30	Ave	Avenue
31	Babs	Barbara
32	baccy	tobacco
33	backstitution	backsubstitution
34	Barb	Barbara
35	barbie	barbecue
36	Bart	Bartholomew
37	bathers	bathing shorts
38	beano	beanfeast
39	bedder	bedroom
40	bedsitter	bedsitting room
41	Beeb	BBC
42	Belle	Arabella
43	Belle	Belinda
44	benny	benzedrine tablet
45	berg	iceberg
46	bermies	bermudas
47	Bernie	Bernard
48	Bert	Albert
49	Bert	Bertie
50	bet	abet
51	Bet	Elizabeth
52	bevie	beverage
53	bevvy	beverage
54	Bgirl	bar girl
55	B'ham	Birmingham
56	bi	bisexual
57	bib	bibliotheque
58	biccy	biscuit
59	bike	bicycle
60	bikie	motorbike
61	billies	dollar bills
62	binos	binoculars
63	biopic	biographical picture
64	biz	business
65	bldg	building
66	boatie	boatman
67	Bob	Robert
68	bodbiz	body business
69	Bogey	Bogart
70	Boney	Bonaparte
71	Bonny	Bonaparte
72	boob	booby
73	bot	robot
74	Bozzy	Boswell
75	bra	brassiere
76	breathalyser	breath analyser
77	brekker	breakfast
78	brill	brilliant
79	bro	brother
80	brolly	umbrella
81	bronc	bronco
82	bus	omnibus
83	butch	butcher
84	Bway	Broadway
85	c	century
86	CA	carcinoma
87	cab	taximeter cabriolet
88	Caddie	Cadillac
89	caf	cafeteria
90	caff	cafe
91	cam	camera
92	camo	camouflage
93	cap	captain
94	capital	capital city
95	caps	capital letters
96	cardi	cardigan
97	cardie	cardigan
98	carny	carnival worker
99	Catho	Catholic
100	cause	because
101	cos	because
102	cos	because
103	celebs	celebrities
104	cellphone	cellular telephone
105	cello	violoncello
106	celly	cellular phone
107	cept	except
108	champers	champagne
109	shampers	champagne
110	Charlie	Charles
111	Charles	Charlotte
112	chemo	chemotherapy
113	Chevy	Chevrolet
114	Chicom	Chinese communist
115	chippie	chipshop
116	choke	artichoke
117	Chrissie	Christine
118	chute	parachute
119	cig	cigarette
120	ciggie	cigarette
121	ciggy	cigarette
122	civvies	civilian clothes
123	coke	coca cola
124	coke	cocaine
125	collekkers	collections
126	combo	combination
127	comfy	comfortable
128	Commie	Communist
129	Commo	Communist
130	common	common sense
131	comp	computer
132	comp	competition
133	compo	compensation
134	Comsymp	Communist sympathizer
135	condo	condominium
136	congrats	congratulations
137	conlang	constructed language
138	coon	raccoon
139	copter	helicopter
140	corp	corporation
141	cortisone	corticosterone
142	cozzie	costume
143	cred	credit
144	cred	credibility
145	credie	credit card
146	crim	criminal
147	croc	crocodile
148	cruits	recruits
149	Csection	Caesarean section
150	cuke	cucumber
151	curio	curiosity
152	cute	acute
153	cutie	cute
154	cutey	cute
155	cuz	cousin
156	cyborg	cybernetic organism
157	darl	darling
158	deb	debutante
159	Debby	Deborah
160	decaf	defcaffeinated coffee
161	decaff	decaffeinated coffee
162	deed	indeed
163	deets	details
164	def	definitely
165	deli	delicatessen
166	delish	delicious
167	Dem	Democrat
168	demo	demonstration
169	desres	desirable residence
170	dif	difference
171	digicabes	digital cable
172	dino	dinosaur
173	dis	disrespect
174	disco	discotheque
175	divi	dividend
176	Dizzy	Disraeli
177	dlr	dollar
178	doc	doctor
179	Dol	Dorothy
180	Dolph	Adolphus
181	Dora	Theodora
182	dorm	dormitory
183	droid	android
184	druggie	drug addict
185	Ecoli	Entamoeba coli
186	edbiz	educational business
187	ekker	exercise
188	emo	emotional
189	Eve	Evelyn
190	evodevo	evolutionary developmental biology
191	ex	exhusband
192	exam	examination
193	exec	executive officer
194	fab	fabulous
195	fag	faggot
196	famdram	family drama
197	fan	fanatic
198	fanfic	fan fiction
199	fash	fashion
200	fave	favourite
201	fax	facsimile
202	fem	feminine
203	fence	defence
204	fend	defend
205	Fergie	Ferguson
206	fess	confess
207	fiche	microfiche
208	finals	final examinations
209	flex	flexible
210	Flo	Floss
211	Floss	Florence
212	flu	influenza
213	folkie	folk singer
214	footer	footbatll
215	footie	football
216	footy	football
217	fraid	afraid
218	frat	fraternity
219	Fred	Alfred
220	fridge	refrigerator
221	fries	French fried potatoes
222	Fro	Afro
223	froyo	frozen yogurt
224	Gail	Abigail
225	gainst	against
226	garbo	garbage collector
227	gas	gasoline
228	gator	alligator
229	general	general servant
230	gents	gentlemen's lavatory
231	Gerry	Gerald
232	gin	genever
233	glam	glamour
234	glutes	gluteus maximus
235	goalie	goalkeeper
236	Gorby	Gorbachev
237	grad	graduate
238	grandma	grandmother
239	grannie	grandmother
240	graph	graphic formula
241	grotty	grotesque
242	gussie	Augustus
243	gym	gymnasium
244	gypsy	Egyptian
245	H	heroin
246	Hal	Harry
247	hanky	handkerchief
248	hard	hard labour
249	hash	hashish
250	hetero	heterosexual
251	hifi	high fidelity
252	hightech	high technology
253	hippo	hippopotamus
254	hols	holidays
255	homo	homosexual
256	Honkers	Hong Kong
257	HRN	heroin
258	hubby	husband
259	hyper	hyperactive
260	ID	identification
261	imposs	impossible
262	inf	infinitely
263	info	information
264	intercom	intercommunication system
265	intro	introduction
266	ism	fascism
267	JLo	Jennifer Lopez
268	jams	pyjamas
269	Jeez	Jesus
270	Jo'burg	Johannesburg
271	jollo	jollification
272	journo	journalist
273	Jpn	Japan
274	jst	just
275	jumbo	jumbo jet
276	juvie	juvenile
277	juvey	juvenile
278	kidvid	kid video
279	klepto	kleptomaniac
280	lab	laboratory
281	lat	latissimus dorsi
282	lax	relaxed
283	lax	relax
284	leccer	lecture
285	lecker	lecture
286	lekker	lecture
287	leet	elite
288	legit	legitimate
289	lesbo	lesbian
290	Lexie	Alexandra
291	lib	liberation
292	limo	limousine
293	Lisa	Elisabeth
294	Liz	Elisabeth
295	Lizzy	Elisabeth
296	litcrit	literary criticism
297	Lizzie	Elizabeth
298	loco	locomotive
299	loid	celluloid
300	Lon	Alonso
301	loony	lunatic
302	looney	lunatic
303	lor	lord
304	Ltd	limited
305	Lum	Columbus
306	lunch	luncheon
307	Lyn	Evelyn
308	ma	mama
309	mac	macaroni
310	Mac	Macintosh
311	mag	maggie
312	maggie	Margaret
313	Mandy	Amanda
314	marvy	marvellous
315	mate	checkmate
316	maths	mathematics
