	word	label	class
0	4H	0	ACRONYMS
1	4WD	0	ACRONYMS
2	A3	0	ACRONYMS
3	A.-A.	0	ACRONYMS
4	ABC	0	ACRONYMS
5	AC	0	ACRONYMS
6	A.D.C.	0	ACRONYMS
7	AFK	0	ACRONYMS
8	afk	0	ACRONYMS
9	AI	0	ACRONYMS
10	AID	0	ACRONYMS
11	AIDS	0	ACRONYMS
12	Aids	0	ACRONYMS
13	AIM	0	ACRONYMS
14	A.-G.	0	ACRONYMS
15	AKA	0	ACRONYMS
16	Aka	0	ACRONYMS
17	aka	0	ACRONYMS
18	ALLEGRO	0	ACRONYMS
19	a.m.	0	ACRONYMS
20	AMESLAN	0	ACRONYMS
21	AOL	0	ACRONYMS
22	ARCA	0	ACRONYMS
23	A.S.A.P.	0	ACRONYMS
24	ASAP	0	ACRONYMS
25	a.s.a.p.	0	ACRONYMS
26	ASBO	0	ACRONYMS
27	ASCII	0	ACRONYMS
28	ASL	0	ACRONYMS
29	ASLEF	0	ACRONYMS
30	ASP	0	ACRONYMS
31	A/S.R.S.	0	ACRONYMS
32	A.T.&T.	0	ACRONYMS
33	AVW	0	ACRONYMS
34	A.W.O.L.	0	ACRONYMS
35	AWOL	0	ACRONYMS
36	awol	0	ACRONYMS
37	B.A.	0	ACRONYMS
38	BAFTA	0	ACRONYMS
39	BANANA	0	ACRONYMS
40	B. and S.	0	ACRONYMS
41	BASIC	0	ACRONYMS
42	B.B.C.	0	ACRONYMS
43	BBC	0	ACRONYMS
44	B.C.E.	0	ACRONYMS
45	b. & b.	0	ACRONYMS
46	Benelux	0	ACRONYMS
47	B.L.	0	ACRONYMS
48	BLT	0	ACRONYMS
49	BOAT	0	ACRONYMS
50	BORAX	0	ACRONYMS
51	BRB	0	ACRONYMS
52	B.S.	0	ACRONYMS
53	BTEC	0	ACRONYMS
54	BYOB	0	ACRONYMS
55	CAB	0	ACRONYMS
56	CAD	0	ACRONYMS
57	CAE	0	ACRONYMS
58	CALIPSO	0	ACRONYMS
59	CARE	0	ACRONYMS
60	CAVE	0	ACRONYMS
61	CD	0	ACRONYMS
62	CD-ROM	0	ACRONYMS
63	CERCLA	0	ACRONYMS
64	C. & W.	0	ACRONYMS
65	CFI	0	ACRONYMS
66	CI	0	ACRONYMS
67	CIA	0	ACRONYMS
68	C. in C.	0	ACRONYMS
69	C.O.D.	0	ACRONYMS
70	C. of A.	0	ACRONYMS
71	C. of E.	0	ACRONYMS
72	COLA	0	ACRONYMS
73	CORE	0	ACRONYMS
74	CRIIGEN	0	ACRONYMS
75	c.v.	0	ACRONYMS
76	CVA	0	ACRONYMS
77	CWOT	0	ACRONYMS
78	d and p	0	ACRONYMS
79	DAT	0	ACRONYMS
80	D.B.S.	0	ACRONYMS
81	DC	0	ACRONYMS
82	dinkie/-y	0	ACRONYMS
83	DIY	0	ACRONYMS
84	D.J.	0	ACRONYMS
85	DJ	0	ACRONYMS
86	DL	0	ACRONYMS
87	DNA	0	ACRONYMS
88	DORA	0	ACRONYMS
89	Dora	0	ACRONYMS
90	DOS	0	ACRONYMS
91	DRAM	0	ACRONYMS
92	EBD	0	ACRONYMS
93	ECB	0	ACRONYMS
94	EEC	0	ACRONYMS
95	e.g.	0	ACRONYMS
96	ESL	0	ACRONYMS
97	ESPRIT	0	ACRONYMS
98	Eto	0	ACRONYMS
99	Euratom	0	ACRONYMS
100	FAQ	0	ACRONYMS
101	F.B.I.	0	ACRONYMS
102	FBI	0	ACRONYMS
103	FC	0	ACRONYMS
104	F.I.N.E.	0	ACRONYMS
105	FIV	0	ACRONYMS
106	FLOTUS	0	ACRONYMS
107	FNMA	0	ACRONYMS
108	FoaF	0	ACRONYMS
109	FOB	0	ACRONYMS
110	fob	0	ACRONYMS
111	Footsie	0	ACRONYMS
112	FREE	0	ACRONYMS
113	FSA	0	ACRONYMS
114	FUSE	0	ACRONYMS
115	FYI	0	ACRONYMS
116	G5	0	ACRONYMS
117	G10	0	ACRONYMS
118	G.A.S.G.A.S.G.A.S.	0	ACRONYMS
119	GCSE	0	ACRONYMS
120	GDP	0	ACRONYMS
121	GFHL	0	ACRONYMS
122	GHOST	0	ACRONYMS
123	GMO	0	ACRONYMS
124	GMT	0	ACRONYMS
125	GOP	0	ACRONYMS
126	GP	0	ACRONYMS
127	HIG?	0	ACRONYMS
128	HIV-1	0	ACRONYMS
129	HIV-2	0	ACRONYMS
130	HOPE	0	ACRONYMS
131	HoReCa	0	ACRONYMS
132	HTLV-1	0	ACRONYMS
133	HTLV-2	0	ACRONYMS
134	HTML	0	ACRONYMS
135	Humvee	0	ACRONYMS
136	HVAC	0	ACRONYMS
137	ICA	0	ACRONYMS
138	i.e.	0	ACRONYMS
139	IMHO	0	ACRONYMS
140	INSET	0	ACRONYMS
141	I/O	0	ACRONYMS
142	IPA	0	ACRONYMS
143	IWC	0	ACRONYMS
144	J.C.	0	ACRONYMS
145	JFK	0	ACRONYMS
146	JIC	0	ACRONYMS
147	JPEG	0	ACRONYMS
148	LA	0	ACRONYMS
149	LAB	0	ACRONYMS
150	ladar	0	ACRONYMS
151	LAME	0	ACRONYMS
152	laser	0	ACRONYMS
153	lem	0	ACRONYMS
154	LH	0	ACRONYMS
155	LIFE	0	ACRONYMS
156	LOL	0	ACRONYMS
157	MACHO	0	ACRONYMS
158	MAE	0	ACRONYMS
159	MAFF	0	ACRONYMS
160	MANIAC	0	ACRONYMS
161	M.C.	0	ACRONYMS
162	MEGO	0	ACRONYMS
163	MIDI	0	ACRONYMS
164	MILF	0	ACRONYMS
165	MISHAP	0	ACRONYMS
166	mms	0	ACRONYMS
167	MO	0	ACRONYMS
168	MOT	0	ACRONYMS
169	M.P.	0	ACRONYMS
170	MP	0	ACRONYMS
171	MPEG	0	ACRONYMS
172	MS-DOS	0	ACRONYMS
173	MUF	0	ACRONYMS
174	mung	0	ACRONYMS
175	N/A	0	ACRONYMS
176	NACRO	0	ACRONYMS
177	NASA	0	ACRONYMS
178	NASDAQ	0	ACRONYMS
179	N.A.T.O.	0	ACRONYMS
180	NATO	0	ACRONYMS
181	Nato	0	ACRONYMS
182	NBC	0	ACRONYMS
183	NC-17	0	ACRONYMS
184	NDP	0	ACRONYMS
185	Ned	0	ACRONYMS
186	NFT	0	ACRONYMS
187	NHS	0	ACRONYMS
188	NIMBY	0	ACRONYMS
189	Nimby	0	ACRONYMS
190	nimby	0	ACRONYMS
191	NORAD	0	ACRONYMS
192	NOTAR	0	ACRONYMS
193	NOW	0	ACRONYMS
194	NRDC	0	ACRONYMS
195	n/s	0	ACRONYMS
196	NSAID	0	ACRONYMS
197	NWAVE	0	ACRONYMS
198	NYC	0	ACRONYMS
199	O. and M.	0	ACRONYMS
200	OD	0	ACRONYMS
201	OED	0	ACRONYMS
202	OFFER	0	ACRONYMS
203	OHMS	0	ACRONYMS
204	O.K.	0	ACRONYMS
205	OTE	0	ACRONYMS
206	OTT	0	ACRONYMS
207	PACE	0	ACRONYMS
208	PAL	0	ACRONYMS
209	PB & J	0	ACRONYMS
210	PC	0	ACRONYMS
211	pc	0	ACRONYMS
212	P. & O.	0	ACRONYMS
213	PETA	0	ACRONYMS
214	PG-13	0	ACRONYMS
215	PIN	0	ACRONYMS
216	p.m.	0	ACRONYMS
217	POG	0	ACRONYMS
218	POTUS	0	ACRONYMS
219	PUSH	0	ACRONYMS
220	p-y-o	0	ACRONYMS
221	Q and A	0	ACRONYMS
222	radar	0	ACRONYMS
223	RAF	0	ACRONYMS
224	Raf	0	ACRONYMS
225	RAM	0	ACRONYMS
226	RASC	0	ACRONYMS
227	REACT	0	ACRONYMS
228	R&D	0	ACRONYMS
229	RHIP	0	ACRONYMS
230	RNA	0	ACRONYMS
231	r'n'b	0	ACRONYMS
232	r'n'r	0	ACRONYMS
233	ROTC	0	ACRONYMS
234	SAD	0	ACRONYMS
235	SALT	0	ACRONYMS
236	SARAH	0	ACRONYMS
237	Satcoma	0	ACRONYMS
238	SCSI	0	ACRONYMS
239	scuba	0	ACRONYMS
240	S/E	0	ACRONYMS
241	SETI	0	ACRONYMS
242	SF	0	ACRONYMS
243	S.F.T.P.O.D.R.A.B.	0	ACRONYMS
244	SHAPE	0	ACRONYMS
245	SIDS	0	ACRONYMS
246	SLEEP	0	ACRONYMS
247	SLRF	0	ACRONYMS
248	SMART	0	ACRONYMS
249	SMILE	0	ACRONYMS
250	SMS	0	ACRONYMS
251	sms	0	ACRONYMS
252	snafu	0	ACRONYMS
253	SNCC	0	ACRONYMS
254	SNP	0	ACRONYMS
255	S. of S.	0	ACRONYMS
256	SOP	0	ACRONYMS
257	S-R	0	ACRONYMS
258	START	0	ACRONYMS
259	SUV	0	ACRONYMS
260	SWOT	0	ACRONYMS
261	TBI	0	ACRONYMS
262	T. & A.	0	ACRONYMS
263	TEFL	0	ACRONYMS
264	TESSA	0	ACRONYMS
265	TGIF	0	ACRONYMS
266	TOEFL	0	ACRONYMS
267	TOP	0	ACRONYMS
268	TTFN	0	ACRONYMS
269	TTIC	0	ACRONYMS
270	U.F.O.	0	ACRONYMS
271	UFO	0	ACRONYMS
272	Ufo	0	ACRONYMS
273	ufo	0	ACRONYMS
274	UK	0	ACRONYMS
275	UN	0	ACRONYMS
276	UNESCO	0	ACRONYMS
277	UNHCR	0	ACRONYMS
278	Unicef	0	ACRONYMS
279	Univac	0	ACRONYMS
280	UNSC	0	ACRONYMS
281	URL	0	ACRONYMS
282	U.S.A.	0	ACRONYMS
283	USA	0	ACRONYMS
284	U.S. of A.	0	ACRONYMS
285	U.S.	0	ACRONYMS
286	US	0	ACRONYMS
287	USAMSMADHS	0	ACRONYMS
288	V. and A.	0	ACRONYMS
289	VAT	0	ACRONYMS
290	vat	0	ACRONYMS
291	VCR	0	ACRONYMS
292	V.I.P.	0	ACRONYMS
293	VIP	0	ACRONYMS
294	vip	0	ACRONYMS
295	V.J.	0	ACRONYMS
296	VP	0	ACRONYMS
297	WAGs	0	ACRONYMS
298	WASP	0	ACRONYMS
299	WH	0	ACRONYMS
300	WHO	0	ACRONYMS
301	Woof	0	ACRONYMS
302	WREN	0	ACRONYMS
303	W/T	0	ACRONYMS
304	WTC 9/11	0	ACRONYMS
305	WTO	0	ACRONYMS
306	Wysiwyg	0	ACRONYMS
307	YAVIS	0	ACRONYMS
308	YMCA	0	ACRONYMS
309	yuppie	0	ACRONYMS
310	ZPG	0	ACRONYMS
311	Abra CaBubble	1	BLENDS
312	absotively	1	BLENDS
313	acetal	1	BLENDS
314	adorapresh	1	BLENDS
315	adorkable	1	BLENDS
316	advertainment	1	BLENDS
317	aggranoying	1	BLENDS
318	agitprop	1	BLENDS
319	airbrasive	1	BLENDS
320	airobics	1	BLENDS
321	Alcan	1	BLENDS
322	alcoholiday	1	BLENDS
323	alphameric	1	BLENDS
324	alternatuxes	1	BLENDS
325	amajor	1	BLENDS
326	ambisextrous	1	BLENDS
327	Amerind	1	BLENDS
328	Amerindian	1	BLENDS
329	amping	1	BLENDS
330	anecdotage	1	BLENDS
331	animule	1	BLENDS
332	appestat	1	BLENDS
333	askility	1	BLENDS
334	astrocity	1	BLENDS
335	attractivating	1	BLENDS
336	autobydography	1	BLENDS
337	automagically	1	BLENDS
338	autopathography	1	BLENDS
339	backronym	1	BLENDS
340	ballute	1	BLENDS
341	bamfuzzle	1	BLENDS
342	banniversary	1	BLENDS
343	baskiceball	1	BLENDS
344	beaulicious	1	BLENDS
345	beefalo	1	BLENDS
346	beefish	1	BLENDS
347	beerios	1	BLENDS
348	Bennifer	1	BLENDS
349	big dame hunter	1	BLENDS
350	bilk	1	BLENDS
351	bisalo	1	BLENDS
352	bisquick	1	BLENDS
353	bit	1	BLENDS
354	Blasian	1	BLENDS
355	blatterature	1	BLENDS
356	blawg	1	BLENDS
357	blaxploitation	1	BLENDS
358	blendalicious	1	BLENDS
359	blog	1	BLENDS
360	blogerrific	1	BLENDS
361	boatel	1	BLENDS
362	bonefisherman	1	BLENDS
363	boost	1	BLENDS
364	bootylicious	1	BLENDS
365	Brangelina	1	BLENDS
366	bridezilla	1	BLENDS
367	broccasion	1	BLENDS
368	broccoflower	1	BLENDS
369	bro-choice	1	BLENDS
370	bro-ing away party	1	BLENDS
372	bro-style	1	BLENDS
373	brotime	1	BLENDS
374	brunch	1	BLENDS
375	Bub'let	1	BLENDS
376	bubblicious	1	BLENDS
377	bulimarexia	1	BLENDS
378	Bullgarita	1	BLENDS
379	bullionaire	1	BLENDS
380	Bullmeister	1	BLENDS
381	burble	1	BLENDS
382	busulfan	1	BLENDS
383	buyography	1	BLENDS
384	cabsat	1	BLENDS
385	Calexico	1	BLENDS
386	californicate	1	BLENDS
387	Californication	1	BLENDS
388	camcorder	1	BLENDS
389	Camford	1	BLENDS
390	camibalistics	1	BLENDS
391	carbecue	1	BLENDS
392	carnibbleous	1	BLENDS
393	cartune	1	BLENDS
394	cat	1	BLENDS
395	cattitude	1	BLENDS
396	cellebrity	1	BLENDS
397	cewebrity	1	BLENDS
398	chatire	1	BLENDS
399	chemagination	1	BLENDS
400	chloral	1	BLENDS
401	chortle	1	BLENDS
402	chunnel	1	BLENDS
403	Churchvelt	1	BLENDS
404	cinemenace	1	BLENDS
405	clandestical	1	BLENDS
406	clandestiny	1	BLENDS
407	cocacolonization	1	BLENDS
408	cockamouse	1	BLENDS
409	compander	1	BLENDS
410	compfusion	1	BLENDS
411	compushity	1	BLENDS
412	confuzzled	1	BLENDS
413	copyleft	1	BLENDS
414	cosmeceuticals	1	BLENDS
415	craptacular	1	BLENDS
417	crazyologist	1	BLENDS
418	criticular	1	BLENDS
419	crunk	1	BLENDS
420	curvessence	1	BLENDS
421	cussnation	1	BLENDS
422	dadzilla	1	BLENDS
423	daffynition	1	BLENDS
424	dancercise	1	BLENDS
425	dawk	1	BLENDS
426	delinguancy	1	BLENDS
427	demopublican	1	BLENDS
428	destarture	1	BLENDS
429	disastrophe	1	BLENDS
430	disgrossting	1	BLENDS
431	dishmobile	1	BLENDS
432	dogbella	1	BLENDS
433	donkophant	1	BLENDS
434	dramedy	1	BLENDS
435	dresshirt	1	BLENDS
436	dumbfound	1	BLENDS
437	earthoon	1	BLENDS
438	earwitness	1	BLENDS
439	e-love	1	BLENDS
440	enshocklopedia	1	BLENDS
441	entreporneur	1	BLENDS
442	eracism	1	BLENDS
443	e-shopping	1	BLENDS
444	Eurasia	1	BLENDS
445	faddition	1	BLENDS
446	familymoon	1	BLENDS
447	fantabulous	1	BLENDS
448	fantasea	1	BLENDS
449	fanzine	1	BLENDS
450	Fedex	1	BLENDS
451	fertigation	1	BLENDS
452	fleep	1	BLENDS
453	floordrobe	1	BLENDS
454	flustrated	1	BLENDS
455	Foolini	1	BLENDS
456	foolosopher	1	BLENDS
457	fortran	1	BLENDS
458	FORTRAN	1	BLENDS
459	Frankenfish	1	BLENDS
460	frappuccino	1	BLENDS
461	frenemies	1	BLENDS
462	Frutopia	1	BLENDS
463	Funderwear	1	BLENDS
464	funtastic	1	BLENDS
465	galumph	1	BLENDS
466	gaydio	1	BLENDS
467	geep	1	BLENDS
468	ginormous	1	BLENDS
469	Girlicious	1	BLENDS
470	glasphalt	1	BLENDS
471	glassteel	1	BLENDS
472	Go-Gurt	1	BLENDS
474	Gorebots	1	BLENDS
475	Governator	1	BLENDS
476	gues	1	BLENDS
477	happenident	1	BLENDS
478	headvertising	1	BLENDS
479	helilift	1	BLENDS
480	hesiflation	1	BLENDS
481	Hungarican	1	BLENDS
482	hurricoon	1	BLENDS
483	infomercial	1	BLENDS
484	infotainment	1	BLENDS
485	insinuendo	1	BLENDS
486	Intelevisionary	1	BLENDS
487	James Bondustry	1	BLENDS
488	Japornimation	1	BLENDS
489	juris-my-dick-tion	1	BLENDS
490	keytainer	1	BLENDS
491	Kittylicious	1	BLENDS
492	kleptoromania	1	BLENDS
493	Kloran	1	BLENDS
494	Kodacolor	1	BLENDS
495	Kongfrontation	1	BLENDS
496	Krustelope	1	BLENDS
498	liger	1	BLENDS
499	linner	1	BLENDS
500	Lipfinity	1	BLENDS
501	maridelic	1	BLENDS
502	Meandertale	1	BLENDS
503	Meanderthal	1	BLENDS
504	medicare	1	BLENDS
505	Mexicali	1	BLENDS
506	millionheiress	1	BLENDS
507	mimsy	1	BLENDS
508	miscevarsitation	1	BLENDS
509	mocamp	1	BLENDS
510	mochaccino	1	BLENDS
511	modem	1	BLENDS
512	moorth	1	BLENDS
513	motel	1	BLENDS
514	mousewife	1	BLENDS
515	Mrssile	1	BLENDS
516	mumzilla	1	BLENDS
517	muppets	1	BLENDS
518	narcoma	1	BLENDS
519	needcessity	1	BLENDS
520	netiquette	1	BLENDS
521	netizen	1	BLENDS
522	numberous	1	BLENDS
523	Obamanomics	1	BLENDS
524	octopush	1	BLENDS
525	opinion	1	BLENDS
526	Optronic	1	BLENDS
527	osteopornosis	1	BLENDS
528	Oxbridge	1	BLENDS
529	palimony	1	BLENDS
530	Palmolive	1	BLENDS
531	pantdress	1	BLENDS
532	paratroops	1	BLENDS
533	Perma-Gel	1	BLENDS
534	pessimystic	1	BLENDS
535	Petcetera	1	BLENDS
536	Pictionary	1	BLENDS
537	pixel	1	BLENDS
538	plot boiler	1	BLENDS
539	pollutician	1	BLENDS
540	pomato	1	BLENDS
541	popocrat	1	BLENDS
542	portalight	1	BLENDS
543	porta-play	1	BLENDS
544	posilutely	1	BLENDS
545	psychedelicatessen	1	BLENDS
546	Psychedelphia	1	BLENDS
547	psychergy	1	BLENDS
548	pursonality	1	BLENDS
549	racqueteer	1	BLENDS
550	rapidry	1	BLENDS
551	rat-a-tattoo	1	BLENDS
552	rendezwoo	1	BLENDS
553	ridonculous	1	BLENDS
554	ridonk	1	BLENDS
555	robomb	1	BLENDS
556	Rotavator	1	BLENDS
557	scandicalous	1	BLENDS
558	screamager	1	BLENDS
559	Sensi-Temp	1	BLENDS
560	sexpert	1	BLENDS
561	sexploitation	1	BLENDS
562	sexretary	1	BLENDS
563	shampagne	1	BLENDS
564	Sherminator	1	BLENDS
565	shoat	1	BLENDS
566	sial	1	BLENDS
567	Simflex	1	BLENDS
568	sinema	1	BLENDS
569	slanguage	1	BLENDS
570	slithy	1	BLENDS
571	smink	1	BLENDS
572	smog	1	BLENDS
573	snappetizer	1	BLENDS
574	snark	1	BLENDS
575	snobject	1	BLENDS
576	soundsational	1	BLENDS
577	Spanglish	1	BLENDS
578	spudtacular	1	BLENDS
579	staycation	1	BLENDS
580	steelionaire	1	BLENDS
581	sterecorder	1	BLENDS
582	stocks	1	BLENDS
583	stoveinkerator	1	BLENDS
584	stripteuse	1	BLENDS
585	sugly	1	BLENDS
586	suspose	1	BLENDS
587	swacket	1	BLENDS
588	swellegant	1	BLENDS
589	tangemon	1	BLENDS
590	telecast	1	BLENDS
591	telex	1	BLENDS
592	Texaco	1	BLENDS
593	Thankstini	1	BLENDS
594	The Big Wiesy	1	BLENDS
595	tigon	1	BLENDS
596	TomKat	1	BLENDS
597	torrible	1	BLENDS
598	transceiver	1	BLENDS
599	UNomatopoeia	1	BLENDS
600	veggie-Q	1	BLENDS
601	Vietvet	1	BLENDS
602	viewshed	1	BLENDS
603	vodkatini	1	BLENDS
604	wargasm	1	BLENDS
605	Wheatables	1	BLENDS
606	windowall	1	BLENDS
607	wintertainment	1	BLENDS
608	wordrobe	1	BLENDS
609	Yobaby	1	BLENDS
610	zebrule	1	BLENDS
611	zedonk	1	BLENDS
612	zonkey	1	BLENDS
613	Ziposium	1	BLENDS
614	Abe	2	CLIPPINGS
615	ad	2	CLIPPINGS
616	ad	2	CLIPPINGS
617	advert	2	CLIPPINGS
