bubble bobble
chow chow
never never
terry rerry
bow wow
arsey darcy
ram jam
cloppety clop
bim bom
goo goo
hoo ha
argy bargy
ca ca
heebie jeebie
patter patter
too too
riff raff
loco foco
hunkum bunkum
chop chop
dum dum
arcade shmarcade
hip hop
titty totty
hocus pocus
tick tock
diffy wiffy
harum scarum
pooly wooly
happy hippo
tug slug
tick tick
splish splash
arf arf
noo noo
clever shmever
hee haw
hula hula
liz wiz
ta ta
art shmart
super duper
diddle daddle
ting ting
trick track
teensy weensy
hubble bubble
twenty twenty
roly poly
razzle dazzle
higgledy piggledy
hodge podge
gobble gobble
bum bum
dimber damber
boo boo
pop pop
flip flap
hoo hoo
chick flick
apple shmapple
see saw
kissy kissy
diary wiary
brittle brattle
pinkle pankle
meow meow
chip chop
clippety clop
bling bling
captain shmaptain
blish blash
footy footy
criss cross
hummel bummel
jim jams
shiffle shuffle
hurly burly
crick crock
fender bender
bibble babble
poo poo
whittie whattie
even steven
hip hop
gender bender
ickle ockle
can't shman't
makka pakka
culture vulture
plit plat
slang whang
sing sing
kit cat
strim stram
turkey lurkey
teeny weeny
smick smack
okey dokey
trill ill
pech pech
bitsy witsy
tuff tuff
creepy crawly
tan tan
drizzle drazzle
ping pong
goosey loosey
skimble skamble
footie footie
pow wow
baa baa
weet weet
variables shmariables
ping pong
crisis shmisis
table shmable
too whoo
moon schmoon
pinky ponk
owlie wowlie
niminy piminy
toodle loodle
cushle mushle
beri beri
beddy bye
cherry churry
fwuffy wuffy
hish hish
prid prad
gale gale
fiddle faddle
wee wee
transformations shmansformations
no no
europe shmeurope
gew gaw
bye bye
rickety rackety
argle bargle
mumbo jumbo
rah rah
woo woo
mumble jumble
helter skelter
stinky pinky
laffy taffy
clitter clatter
feery fary
wish wash
ducky lucky
tick tack
silly billy
dingle dangle
bumpety bump
dilly dally
chit chat
yolp yalp
wonga wonga
clip clop
hanky panky
killer diller
itty bitty
giggle gaggle
twiddle twaddle
goody goody
laa laa
clap trap
tittle tattle
nig nog
nitty gritty
twittle twattle
mingle mangle
palsy walsy
chug chug
clang clang
tinky winky
willy nilly
so so
quack quack
yé yé
flip flop
chick'n quick
humpty dumpty
charlie parlie
tra ra
tut tut
fifty fifty
diddle diddle
artsy craftsy
nit wit
gibble gabble
hub bub
plotty plotty
twisty wisty
nonny nonny
pedro schmedro
ninky nonk
curly wurly
flippy floppy
hugger mugger
easy peasy
plan shman
crick crack
click click
fuddy duddy
wa wa
clickety clack
yaw haw
tweet tweet
win win
clickety click
wibble wobble
pom pom
nick nack
ramp ramp
funny bunny
arsy versy
rumpy pumpy
hah hah
glut glut
cha cha
cakey wakey
pattle pattle
hotsy totsy
night night
georgy porgy
dingly dangly
fuzzy wuzzy
frou frou
tip top
pip pip
knock knock
mack lack
zig zag
locked shmocked
peepie creepie
row dow
bling blang
ding dong
lizzy wizzy
wey hey
fancy schmancy
yum yum
din din
gibbie gabbie
wishy washy
growly wowly
marry shmarry
okily dokily
clankety clank
pee pee
clinkety clank
criss cross
pretty pretty
ran dan
lodgie podgie
shittity brickitty
foxy loxy
bearum scarum
popsy wopsy
cawdey mawdey
kickie whickie
pinkie winkie
teeny tiny
flim flam
gravity schmavity
tic tac
even stephen
arty farty
baby schmaby
whim wham
buddy buddy
walkie talkie
eensy weensy
honk honk
chug drug
swing swang
tussie mussie
handy dandy
reese's pieces
bye byes
snip snip
hoity toity
rumble tumble
choo choo
shilly shally
oogie boogie
zig zag
go go
pipple papple
mish mash
